Itemcode,"Item Description",Brand,Pack-size,"Vendor ID","Receive Date","PO Number","PO Line #","Ordered Quantity","Order UOM","Received Quantity","Rec. UOM","Weight (LB)","Variance (Quantity)","Estimate Inventory Cost","Actual Inventory Cost","Variance (Inventory Cost)","Estimate Add-on Cost","Actual Add-on Cost","Variance (Add-on Cost)"
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",08/15/2016,"003848   ","001           ",116,"CS         ",116,"CS       ",0,0,1537,1537,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",08/20/2016,"003863   ","001           ",174,"CS         ",174,"CS       ",0,0,2305.5,2305.5,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",08/22/2016,"003906   ","001           ",174,"CS         ",174,"CS       ",0,0,2305.5,2305.5,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",08/26/2016,"003937   ","001           ",174,"CS         ",174,"CS       ",0,0,2305.5,2305.5,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",08/29/2016,"003975   ","001           ",174,"CS         ",174,"CS       ",0,0,2305.5,2305.5,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",09/02/2016,"004012   ","001           ",116,"CS         ",116,"CS       ",0,0,1537,1537,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",09/05/2016,"004015   ","001           ",174,"CS         ",174,"CS       ",0,0,2305.5,2305.5,0,0,0,0
" TOM40  ","Tomato Seconds Mix 20#             ","          ","          ","DVD     ",09/09/2016,"004068   ","001           ",116,"CS         ",116,"CS       ",0,0,1537,1537,0,0,0,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","ROG     ",01/18/2016,"003163   ","002           ",50,"CS         ",50,"CS       ",0,0,1150,1150,0,62.5,62.5,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","ROG     ",01/25/2016,"003175   ","002           ",52,"CS         ",52,"CS       ",0,0,1196,1196,0,65,65,0
