Itemcode,"Item Description",Brand,Pack-size,"Vendor ID","Receive Date","PO Number","PO Line #","Ordered Quantity","Order UOM","Received Quantity","Rec. UOM","Weight (LB)","Variance (Quantity)","Estimate Inventory Cost","Actual Inventory Cost","Variance (Inventory Cost)","Estimate Add-on Cost","Actual Add-on Cost","Variance (Add-on Cost)"
"APP172  ","Apple Honeycrisp 80/88/100s        ","          ","          ","RHO     ",11/02/2018,"006972   ","001           ",294,"CS         ",294,"CS       ",0,0,18522,0,-100,0,0,0
"APP32   ","Apple Gala  72/80/88s              ","          ","          ","RHO     ",10/25/2018,"006952   ","002           ",168,"CS         ",84,"CS       ",0,-50,2436,2436,0,54.55,54.55,0
"APP32   ","Apple Gala  72/80/88s              ","          ","          ","RHO     ",10/30/2018,"006956   ","001           ",84,"CS         ",81,"CS       ",0,-3.57,2349,0,-100,0,0,0
"APP32   ","Apple Gala  72/80/88s              ","          ","          ","RHO     ",11/01/2018,"006971   ","001           ",168,"CS         ",168,"CS       ",0,0,4872,0,-100,0,0,0
"APP33   ","Apple Gala tote 8/5#               ","          ","          ","RHO     ",10/25/2018,"006952   ","001           ",70,"CS         ",70,"CS       ",0,0,1610,1610,0,45.45,45.45,0
"APP33   ","Apple Gala tote 8/5#               ","          ","          ","RHO     ",11/01/2018,"006971   ","002           ",70,"CS         ",70,"CS       ",0,0,1680,0,-100,0,0,0
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","ORB     ",10/09/2018,"006889   ","001           ",400,"CS         ",400,"CS       ",0,0,14600,14600,0,275,275,0
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","RHO     ",10/11/2018,"006908   ","002           ",350,"CS         ",350,"CS       ",0,0,12775,12775,0,250,250,0
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","ORB     ",10/20/2018,"006929   ","001           ",350,"CS         ",350,"CS       ",0,0,12775,12775,0,250,0,-100
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","RHO     ",10/26/2018,"006945   ","001           ",350,"CS         ",350,"CS       ",0,0,12775,12775,0,250,250,0
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","ORB     ",10/30/2018,"006954   ","001           ",335,"CS         ",335,"CS       ",0,0,12227.5,0,-100,275,0,-100
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","RHO     ",11/01/2018,"006955   ","001           ",350,"CS         ",350,"CS       ",0,0,12775,0,-100,0,0,0
"APP41   ","Apple Honeycrisp tote 10/4#        ","          ","          ","ORB     ",11/03/2018,"006968   ","001           ",210,"CS         ",210,"CS       ",0,0,7665,0,-100,0,0,0
"APP62   ","Apple Paula Red polybag 12/3#      ","          ","          ","LYM     ",08/22/2018,"006605   ","011           ",1,"CS         ",1,"CS       ",0,0,0,0,0,2.25,2.25,0
"APPE100 ","Apple Cortland ECO 72/80/88s       ","          ","40#       ","LYM     ",10/12/2018,"006905   ","001           ",126,"CS         ",126,"CS       ",0,0,3591,3591,0,0,0,0
"APPE100 ","Apple Cortland ECO 72/80/88s       ","          ","40#       ","LYM     ",10/31/2018,"006960   ","001           ",3,"CS         ",3,"CS       ",0,0,85.5,0,-100,15.92,0,-100
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","SUN     ",02/26/2018,"006115   ","001           ",2,"CS         ",2,"CS       ",0,0,57,57,0,11.73,11.73,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/14/2018,"006761   ","003           ",6,"CS         ",6,"CS       ",0,0,171,171,0,64.85,64.85,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/17/2018,"006779   ","001           ",13,"CS         ",13,"CS       ",0,0,351,351,0,149.33,149.33,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","BHO     ",09/19/2018,"006795   ","004           ",8,"CS         ",8,"CS       ",0,0,216,216,0,96.8,96.8,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/21/2018,"006803   ","001           ",23,"CS         ",23,"CS       ",0,0,621,621,0,51.75,51.75,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/21/2018,"006810   ","001           ",1,"CS         ",1,"CS       ",0,0,27,27,0,12.26,9.7,-20.88
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/24/2018,"006830   ","001           ",13,"CS         ",13,"CS       ",0,0,351,351,0,181.55,181.55,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/26/2018,"006829   ","008           ",2,"CS         ",2,"CS       ",0,0,54,54,0,24.39,23.83,-2.3
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/26/2018,"006836   ","001           ",9,"CS         ",9,"CS       ",0,0,243,243,0,109.76,107.27,-2.27
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/28/2018,"006851   ","001           ",9,"CS         ",9,"CS       ",0,0,243,243,0,36.97,25.18,-31.89
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/28/2018,"006856   ","001           ",15,"CS         ",15,"CS       ",0,0,405,405,0,171.12,171.12,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",10/03/2018,"006864   ","001           ",16,"CS         ",16,"CS       ",0,0,432,432,0,137.15,137.15,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",10/10/2018,"006893   ","001           ",17,"CS         ",17,"CS       ",0,0,484.5,484.5,0,97.31,96.74,-0.59
