Itemcode,"Item Description",Brand,Pack-size,"Vendor ID","Receive Date","PO Number","PO Line #","Ordered Quantity","Order UOM","Received Quantity","Rec. UOM","Weight (LB)","Variance (Quantity)","Estimate Inventory Cost","Actual Inventory Cost","Variance (Inventory Cost)","Estimate Add-on Cost","Actual Add-on Cost","Variance (Add-on Cost)"
"APP1    ","Apple McIntosh 80s                 ","          ","          ","BHO     ",10/09/2015,"002819   ","001           ",126,"CS         ",126,"CS       ",0,0,2898,2898,0,157.5,157.5,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","BHO     ",11/02/2015,"002970   ","001           ",42,"CS         ",42,"CS       ",0,0,966,966,0,52.5,52.5,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","BHO     ",11/09/2015,"002990   ","001           ",84,"CS         ",84,"CS       ",0,0,1932,1932,0,105,105,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","BHO     ",11/16/2015,"003021   ","001           ",42,"CS         ",42,"CS       ",0,0,966,966,0,52.5,52.5,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","BHO     ",11/30/2015,"003068   ","002           ",84,"CS         ",84,"CS       ",0,0,1932,1932,0,105,105,0
"APP102  ","Apple McIntosh 80/88s              ","          ","          ","BHO     ",10/26/2015,"002942   ","002           ",84,"CS         ",84,"CS       ",0,0,2079,2079,0,0,0,0
"APP102  ","Apple McIntosh 80/88s              ","          ","          ","BHO     ",11/12/2015,"003038   ","001           ",126,"CS         ",126,"CS       ",0,0,3118.5,3118.5,0,0,0,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","BHO     ",10/09/2015,"002819   ","003           ",70,"CS         ",70,"CS       ",0,0,1312.5,1312.5,0,87.5,87.5,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","BHO     ",11/02/2015,"002970   ","002           ",70,"CS         ",70,"CS       ",0,0,1312.5,1312.5,0,87.5,87.5,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","BHO     ",11/09/2015,"002990   ","002           ",175,"CS         ",175,"CS       ",0,0,3281.25,3281.25,0,218.75,218.75,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","BHO     ",11/16/2015,"003021   ","002           ",60,"CS         ",60,"CS       ",0,0,1125,1125,0,75,75,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","BHO     ",12/04/2015,"003087   ","002           ",91,"CS         ",91,"CS       ",0,0,1706.25,1706.25,0,113.75,113.75,0
"APP112  ","Apple Ginger Gold 80/88s           ","          ","          ","BHO     ",09/06/2015,"002493   ","002           ",42,"CS         ",42,"CS       ",0,0,1039.5,1039.5,0,0,0,0
"APP116  ","Apple Ginger Gold 138s             ","          ","          ","BHO     ",09/16/2015,"002577   ","004           ",4,"CS         ",4,"CS       ",0,0,60,60,0,24.53,24.53,0
"APP116  ","Apple Ginger Gold 138s             ","          ","          ","BHO     ",09/18/2015,"002592   ","005           ",7,"CS         ",7,"CS       ",0,0,105,105,0,45,45,0
"APP117  ","Apple Ginger Gold 125s             ","          ","          ","BHO     ",09/14/2015,"002547   ","001           ",14,"CS         ",14,"CS       ",0,0,238,238,0,115.28,115.28,0
"APP117  ","Apple Ginger Gold 125s             ","          ","          ","BHO     ",09/16/2015,"002577   ","002           ",15,"CS         ",15,"CS       ",0,0,255,255,0,91.99,91.99,0
"APP117  ","Apple Ginger Gold 125s             ","          ","          ","BHO     ",09/18/2015,"002592   ","001           ",2,"CS         ",2,"CS       ",0,0,34,34,0,12.86,12.86,0
"APP119  ","Apple Ginger Gold 72/80/88/100s    ","          ","          ","BHO     ",09/13/2015,"002542   ","001           ",126,"CS         ",126,"CS       ",0,0,2520,2520,0,0,0,0
